Title,product_company,Price,Product_offer,prod_Stars,No of reviews,product_Link,Image_link
"OPPO A31 (Mystery Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",OPPO,"Rs12,990",(19% off),4.2 out of 5 stars,"44,827",https://amazon.in/Oppo-Mystery-Storage-Additional-Exchange/dp/B08444S68L/ref=sr_1_3?keywords=mobiles&qid=1642420693&sr=8-3,https://m.media-amazon.com/images/I/71KCwNV6MuL._AC_UY218_.jpg
"Redmi Note 10S (Frost White, 6GB RAM, 64GB Storage) - Super Amoled Display | 64 MP Quad Camera | Alexa Built in",Redmi,"Rs13,999",(18% off),4.2 out of 5 stars,"44,762",https://amazon.in/Redmi-Note-Frost-White-Storage/dp/B0948NV5PH/ref=sr_1_4?keywords=mobiles&qid=1642420693&sr=8-4,https://m.media-amazon.com/images/I/81SJHWh-dfL._AC_UY218_.jpg
Redmi 9A (Sea Blue 2GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,Redmi,"Rs6,999",(18% off),4.2 out of 5 stars,"138,646",https://amazon.in/Redmi-9A-2GB-32GB-Storage/dp/B086978F2L/ref=sr_1_5?keywords=mobiles&qid=1642420693&sr=8-5,https://m.media-amazon.com/images/I/71sxlhYhKWL._AC_UY218_.jpg
Redmi 9A (Midnight Black 2GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,Redmi,"Rs6,999",(18% off),4.2 out of 5 stars,"138,646",https://amazon.in/Redmi-9A-Midnight-2GB-32GB/dp/B08697N43G/ref=sr_1_6?keywords=mobiles&qid=1642420693&sr=8-6,https://m.media-amazon.com/images/I/71sxlhYhKWL._AC_UY218_.jpg
"Samsung Galaxy M32 5G (Sky Blue, 8GB RAM, 128GB Storage)",Samsung,"Rs18,999",(27% off),4.2 out of 5 stars,"19,532",https://amazon.in/Samsung-Galaxy-Blue-128GB-Storage/dp/B09CGJFY5N/ref=sr_1_7?keywords=mobiles&qid=1642420693&sr=8-7,https://m.media-amazon.com/images/I/71os5DRhuSL._AC_UY218_.jpg
Redmi 10 Prime (Phantom Black 4GB RAM 64GB | Helio G88 with extendable RAM Upto 2GB | FHD+ 90Hz Adaptive Sync Display),Redmi,"Rs11,999",(20% off),4.1 out of 5 stars,"19,706",https://amazon.in/Redmi-10-Prime-extendable-Adaptive/dp/B09CTYGJSD/ref=sr_1_8?keywords=mobiles&qid=1642420693&sr=8-8,https://m.media-amazon.com/images/I/817clKAKcqL._AC_UY218_.jpg
"Redmi 9 Activ (Coral Green, 4GB RAM, 64GB Storage)",Redmi,"Rs9,199",(16% off),4.2 out of 5 stars,"136,209",https://amazon.in/Redmi-Activ-Coral-Green-Storage/dp/B09GFLFMPS/ref=sr_1_10?keywords=mobiles&qid=1642420693&sr=8-10,https://m.media-amazon.com/images/I/91kAtEXPIeL._AC_UY218_.jpg
"Lava A1 Josh 21-Dual Sim |Call Blink Notfication |auto Call recoding |Military Grade Certified with 4 Day Battery Backup, Blue Silver",Lava,Rs979,(22% off),4.0 out of 5 stars,"3,384",https://amazon.in/Lava-Notfication-recoding-Military-Certified/dp/B09BF8JBWX/ref=sr_1_13?keywords=mobiles&qid=1642420693&sr=8-13,https://m.media-amazon.com/images/I/716oD06jiUL._AC_UY218_.jpg
"Micromax X419 Cocoa Brown (Dual sim, 1750 mAh Battery)",Micromax,Rs999,(46% off),3.8 out of 5 stars,154,https://amazon.in/Micromax-X419-Cocoa-Brown-Battery/dp/B09GRSQNW8/ref=sr_1_15?keywords=mobiles&qid=1642420693&sr=8-15,https://m.media-amazon.com/images/I/61WBbpbyEtL._AC_UY218_.jpg
Lava A1 (Blue Silver),Lava,"Rs1,029",(20% off),4.0 out of 5 stars,"9,930",https://amazon.in/Lava-A1-Blue-Silver/dp/B09BF91NV5/ref=sr_1_16?keywords=mobiles&qid=1642420693&sr=8-16,https://m.media-amazon.com/images/I/71nJCipMRiL._AC_UY218_.jpg
